color,price,model,specs,engine,bodytype,mileage,city
Blue,"$6,500 ",2011 Hyundai Sonata GLS,"Used 2011 Hyundai Sonata GLS with FWD, Keyless Entry, CD (Single Disc), DVD, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM, Power Locks, Front Airbags (Driver)",4 Cyl,Sedan,"Mileage: 103,386 miles",Boston
White,"$8,990 ",2012 Chevrolet Cruze LS,"Used 2012 Chevrolet Cruze LS with FWD, Keyless Entry, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Power Steering, Power Windows, AM/FM, Trip Computer, Intermittent Wipers",4 Cyl,Sedan,"Mileage: 60,079 miles",Boston
Silver,"$8,290 ",2014 Ford Focus SE,"Used 2014 Ford Focus SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Power Steering, Power Windows, AM/FM, Trip Computer",4 Cyl,Sedan,"Mileage: 67,481 miles",Boston
Black,"$14,488 ",2014 Kia Sportage LX,"Used 2014 Kia Sportage LX with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering, Intermittent Wipers",4 Cyl,SUV,"Mileage: 26,323 miles",Boston
White,"$18,439 ",2015 Toyota RAV4 LE,"Used 2015 Toyota RAV4 LE with AWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM, Power Locks",4 Cyl,SUV,"Mileage: 28,894 miles",Boston
Beige,"$38,992 ",2016 Toyota Tundra TRD Pro,"Used 2016 Toyota Tundra TRD Pro with 4WD, Double Cab, Remote Start, Leather Seats, Trailer Hitch, Alloy Wheels, Navigation System, Rear-View Camera, Aux Audio Adapter, Handsfree/Bluetooth Integration, Power Mirrors",8 Cyl,Pickup,"Mileage: 17,488 miles",Boston
White,"$9,725 ",2009 Honda Accord EXL,"Used 2009 Honda Accord EXL with FWD, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, Air Conditioning, MP3, Satellite Radio, Power Steering",6 Cyl,Sedan,"Mileage: 96,944 miles",Boston
Black,"$15,000 ",2016 Fiat 500X Easy,"Used 2016 Fiat 500X Easy with AWD, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, DVD, Air Conditioning",4 Cyl,SUV,"Mileage: 7,046 miles",Boston
Gray,"$14,226 ",2014 Nissan Altima SV,"Used 2014 Nissan Altima SV with FWD, Remote Start, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",4 Cyl,Sedan,"Mileage: 29,095 miles",Boston
Beige,"$13,087 ",2015 Kia Optima LX,"Used 2015 Kia Optima LX with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Split/Folding Seats, Air Conditioning, Cloth Seats, Power Steering, AM/FM, 4-Wheel Disc Brakes",4 Cyl,Sedan,"Mileage: 25,030 miles",Boston
Silver,"$28,000 ",2015 Audi A5 Premium Plus,"Used 2015 Audi A5 Premium Plus with AWD, Remote Start, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats",4 Cyl,Coupe,"Mileage: 10,161 miles",Boston
Green,"$18,577 ",2013 Subaru Outback 2.5i Limited,"Used 2013 Subaru Outback 2.5i Limited with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Air Conditioning, MP3",4 Cyl,Wagon,"Mileage: 49,038 miles",Boston
