specs,price,color,mileage,bodytype,engine,model,city
"Used 2014 BMW 3 Series 320i xDrive with AWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3, Power Steering, Power Windows","$23,288 ",White,"Mileage: 29,372 miles",Sedan,4 Cyl,2014 BMW 3 Series 320i xDrive,WashingtonDC
"Used 2013 Mini Cooper with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, Power Windows, Trip Computer, Power Locks, Rear Window Defroster, Front Airbags (Driver)","$9,995 ",White,"Mileage: 78,115 miles",Hatchback,4 Cyl,2013 Mini Cooper,WashingtonDC
"Used 2014 Toyota Camry SE with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, Power Windows, AM/FM","$13,898 ",Black,"Mileage: 29,220 miles",Sedan,4 Cyl,2014 Toyota Camry SE,WashingtonDC
"Used 2012 Ford Escape XLT with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering","$10,779 ",Silver,"Mileage: 71,625 miles",SUV,6 Cyl,2012 Ford Escape XLT,WashingtonDC
"Used 2016 Nissan Versa S with FWD, CD (Single Disc), Air Conditioning, MP3, Cloth Seats, Power Steering, AM/FM, Aux Audio Adapter, Trip Computer, Intermittent Wipers, Rear Window Defroster","$9,998 ",Silver,"Mileage: 16,948 miles",Sedan,4 Cyl,2016 Nissan Versa S,WashingtonDC
"Used 2015 Toyota Sienna LE with FWD, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio","$23,811 ",Black,"Mileage: 21,921 miles",Minivan,6 Cyl,2015 Toyota Sienna LE,WashingtonDC
"Used 2015 Ford F-150 XLT with 4WD, Fog Lights, Trailer Hitch, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Towing Package, Rear-View Camera, Split/Folding Seats, Air Conditioning","$27,295 ",Black,"Mileage: 30,357 miles",Pickup,6 Cyl,2015 Ford F-150 XLT,WashingtonDC
"Used 2015 Jeep Wrangler Sport with 4WD, Fog Lights, Cruise Control, CD (Single Disc), MP3, Cloth Seats, Power Steering, AM/FM, Aux Audio Adapter, 4-Wheel Disc Brakes, Trip Computer","$22,490 ",Green,"Mileage: 20,081 miles",SUV,6 Cyl,2015 Jeep Wrangler Sport,WashingtonDC
"Used 2012 Ford Fusion SE with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats","$9,773 ",White,"Mileage: 74,083 miles",Sedan,6 Cyl,2012 Ford Fusion SE,WashingtonDC
"Used 2016 Ford Mustang Shelby GT350 with RWD, Leather Seats, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, MP3, Cloth Seats, Power Steering, Power Windows","$53,998 ",Gray,"Mileage: 3,941 miles",Coupe,8 Cyl,2016 Ford Mustang Shelby GT350,WashingtonDC
