price,color,mileage,bodytype,model,specs,engine,city
"$16,420 ",Silver,"Mileage: 33,914 miles",SUV,2014 Honda CR-V LX,"Used 2014 Honda CR-V LX with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows",4 Cyl,LA
"$15,899 ",Blue,"Mileage: 60,675 miles",Sedan,2014 BMW 3 Series 328i,,4 Cyl,LA
"$10,995 ",White,"Mileage: 23,658 miles",Hatchback,2015 Chevrolet Sonic RS,"Used 2015 Chevrolet Sonic RS with FWD, Alloy Wheels, Rear-View Camera, Handsfree/Bluetooth Integration",4 Cyl,LA
"$9,999 ",Black,"Mileage: 29,900 miles",Sedan,2014 Volkswagen Jetta SE,"Used 2014 Volkswagen Jetta SE with FWD, Leather Seats, Keyless Entry, Cruise Control, Air Conditioning, Power Windows, AM/FM, Power Seat (Driver), Power Locks, Power Mirrors",4 Cyl,LA
"$16,537 ",Gray,"Mileage: 6,587 miles",Sedan,2016 Mazda Mazda3 i Touring,"Used 2016 Mazda Mazda3 i Touring with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Rear-View Camera, Split/Folding Seats, Air Conditioning, Cloth Seats, Power Steering",4 Cyl,LA
"$12,995 ",Silver,"Mileage: 33,096 miles",Sedan,2015 Toyota Corolla,,4 Cyl,LA
"$7,995 ",Silver,"Mileage: 70,363 miles",Sedan,2013 Chevrolet Cruze LT,"Used 2013 Chevrolet Cruze LT with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering",4 Cyl,LA
"$14,998 ",Black,"Mileage: 24,456 miles",Sedan,2015 Toyota Corolla S,"Used 2015 Toyota Corolla S with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Power Steering",4 Cyl,LA
"$13,499 ",White,"Mileage: 34,268 miles",SUV,2014 Jeep Cherokee Sport,"Used 2014 Jeep Cherokee Sport with FWD, Cruise Control, Air Conditioning, Cloth Seats, Power Windows, AM/FM, Aux Audio Adapter, Handsfree/Bluetooth Integration",4 Cyl,LA
"$18,980 ",Gold,"Mileage: 67,508 miles",SUV,2009 Porsche Cayenne,"Used 2009 Porsche Cayenne with AWD, Leather Seats, Fog Lights, Alloy Wheels, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Power Steering, Power Windows, AM/FM",6 Cyl,LA
"$14,777 ",Unspecified,"Mileage: 31,554 miles",SUV,2015 Ford Escape SE,"Used 2015 Ford Escape SE with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Cloth Seats",4 Cyl,LA
"$15,900 ",Black,"Mileage: 8,114 miles",Sedan,2016 Toyota Camry Special Edition,"Used 2016 Toyota Camry Special Edition with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering",4 Cyl,LA
"$18,593 ",White,"Mileage: 43,020 miles",Sedan,2012 Acura TSX Technology,"Used 2012 Acura TSX Technology with FWD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning",4 Cyl,LA
"$29,995 ",White,"Mileage: 27,324 miles",SUV,2015 Jeep Wrangler Sahara,"Used 2015 Jeep Wrangler Sahara with 4WD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, Satellite Radio, Cloth Seats, Power Steering",6 Cyl,LA
"$6,400 ",Yellow,"Mileage: 60,896 miles",Convertible,2007 Mini Cooper,"Used 2007 Mini Cooper with FWD, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, Power Steering, Power Windows",4 Cyl,LA
"$13,999 ",Black,"Mileage: 14,106 miles",Sedan,2016 Toyota Corolla L,"Used 2016 Toyota Corolla L with FWD, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM, Trip Computer, Rear Window Defroster, Front Airbags (Driver)",4 Cyl,LA
"$19,598 ",Black,"Mileage: 18,824 miles",Coupe,2015 Dodge Challenger SXT,"Used 2015 Dodge Challenger SXT with RWD, Alloy Wheels, Keyless Entry, Cruise Control, Split/Folding Seats, Air Conditioning, Cloth Seats, Power Steering, Power Windows, AM/FM, Aux Audio Adapter",6 Cyl,LA
"$7,979 ",White,"Mileage: 62,501 miles",Sedan,2006 Chevrolet Impala SS,,8 Cyl,LA
