mileage,specs,color,bodytype,engine,model,price,city
"Mileage: 18,397 miles","Used 2016 Kia Rio LX with FWD, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering, AM/FM, Aux Audio Adapter, 4-Wheel Disc Brakes",Blue,Sedan,4 Cyl,2016 Kia Rio LX,"$8,999 ",Miami
"Mileage: 23,208 miles","Used 2016 Honda Civic LX with FWD, Keyless Entry, Cruise Control, Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM, 4-Wheel Disc Brakes",Gray,Sedan,4 Cyl,2016 Honda Civic LX,"$13,999 ",Miami
"Mileage: 44,875 miles","Used 2014 Ford Focus SE with FWD, Cruise Control, Air Conditioning, Cloth Seats, AM/FM, Trip Computer, Power Locks, Handsfree/Bluetooth Integration, Power Mirrors",Blue,Sedan,4 Cyl,2014 Ford Focus SE,"$8,987 ",Miami
"Mileage: 33,582 miles","Used 2014 Honda Civic LX with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM",Black,Sedan,4 Cyl,2014 Honda Civic LX,"$11,900 ",Miami
"Mileage: 17,516 miles","Used 2014 Dodge Journey SXT with FWD, Fog Lights, Cruise Control, Split/Folding Seats, Air Conditioning, Power Steering, Aux Audio Adapter, Intermittent Wipers, Power Locks, Rear Window Defroster, Front Airbags (Driver)",Orange,SUV,6 Cyl,2014 Dodge Journey SXT,"$14,991 ",Miami
"Mileage: 31,487 miles","Used 2013 Cadillac SRX Base with FWD, Keyless Entry, Cruise Control, Split/Folding Seats, Air Conditioning, Power Steering, AM/FM, Aux Audio Adapter, Trip Computer, Power Seat (Driver), Intermittent Wipers",Silver,SUV,6 Cyl,2013 Cadillac SRX Base,"$19,700 ",Miami
Mileage: 1 miles,"Used 2016 Toyota Corolla LE with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM",Red,Sedan,4 Cyl,2016 Toyota Corolla LE,"$13,987 ",Miami
"Mileage: 35,201 miles","Used 2014 Honda Civic LX with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM",Brown,Sedan,4 Cyl,2014 Honda Civic LX,"$10,999 ",Miami
"Mileage: 42,564 miles","Used 2013 BMW 3 Series 328i with RWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows",Blue,Sedan,4 Cyl,2013 BMW 3 Series 328i,"$16,000 ",Miami
"Mileage: 30,799 miles","Used 2015 Fiat 500 Pop with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM, Aux Audio Adapter",White,Hatchback,4 Cyl,2015 Fiat 500 Pop,"$7,990 ",Miami
