model,bodytype,color,specs,engine,mileage,price,city
2014 Honda Civic LX,Sedan,White,"Used 2014 Honda Civic LX with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM",4 Cyl,"Mileage: 28,226 miles","$10,905 ",NYC
2013 Honda Civic LX,Sedan,Black,"Used 2013 Honda Civic LX with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM",4 Cyl,"Mileage: 28,489 miles","$7,888 ",NYC
2016 GMC Acadia SLE,SUV,White,"Used 2016 GMC Acadia SLE with AWD, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio",6 Cyl,"Mileage: 17,139 miles","$19,900 ",NYC
2009 Ford Edge SEL,SUV,Black,"Used 2009 Ford Edge SEL with AWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Split/Folding Seats, Air Conditioning, Power Steering, AM/FM, Aux Audio Adapter, Trip Computer",6 Cyl,"Mileage: 186,806 miles","$5,200 ",NYC
2015 Chevrolet Trax LT,SUV,Black,"Used 2015 Chevrolet Trax LT with AWD, Remote Start, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",4 Cyl,"Mileage: 21,259 miles","$15,775 ",NYC
2014 BMW X1 xDrive28i,SUV,White,"Used 2014 BMW X1 xDrive28i with AWD, Keyless Entry, Heated Seats, Power Steering",4 Cyl,"Mileage: 39,777 miles","$19,788 ",NYC
2007 Honda Pilot EXL,SUV,Gray,"Used 2007 Honda Pilot EXL with 4WD, Leather Seats, Fog Lights, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats, Air Conditioning, Satellite Radio, Power Steering",6 Cyl,"Mileage: 100,346 miles","$9,650 ",NYC
2014 Nissan Altima S,Sedan,Black,"Used 2014 Nissan Altima S with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM, Aux Audio Adapter",4 Cyl,"Mileage: 31,633 miles","$8,800 ",NYC
2014 Jeep Cherokee Latitude,SUV,Gray,"Used 2014 Jeep Cherokee Latitude with 4WD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM",6 Cyl,"Mileage: 26,536 miles","$17,000 ",NYC
2013 Hyundai Sonata GLS,Sedan,Black,"Used 2013 Hyundai Sonata GLS with FWD, Alloy Wheels, Navigation System, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering, Power Windows",4 Cyl,"Mileage: 49,667 miles","$8,995 ",NYC
2014 BMW X3 xDrive28i,SUV,Black,"Used 2014 BMW X3 xDrive28i with AWD, Fog Lights, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, AM/FM",4 Cyl,"Mileage: 71,989 miles","$19,800 ",NYC
2015 Nissan Rogue SV,SUV,Silver,"Used 2015 Nissan Rogue SV with AWD, Keyless Entry, Cruise Control, Rear-View Camera, Split/Folding Seats, Air Conditioning, Power Steering, Aux Audio Adapter, Power Seat (Driver), Intermittent Wipers, Power Locks",4 Cyl,"Mileage: 12,317 miles","$17,495 ",NYC
2012 Audi A4 2.0T,Sedan,Black,"Used 2012 Audi A4 2.0T with AWD, Heated Seats, Handsfree/Bluetooth Integration",4 Cyl,"Mileage: 101,371 miles","$12,900 ",NYC
2014 Honda Civic LX,Sedan,Gray,"Used 2014 Honda Civic LX with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Power Steering, Power Windows, AM/FM, Aux Audio Adapter, Intermittent Wipers, Power Locks",4 Cyl,"Mileage: 39,427 miles","$10,999 ",NYC
2014 Ford Fiesta S,Sedan,Black,"Used 2014 Ford Fiesta S with FWD, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, AM/FM, Intermittent Wipers, Rear Window Defroster, Handsfree/Bluetooth Integration",4 Cyl,"Mileage: 35,387 miles","$8,715 ",NYC
2016 Volkswagen Golf S,Hatchback,White,"Used 2016 Volkswagen Golf S with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, Cloth Seats, Power Steering, Power Windows, AM/FM",4 Cyl,"Mileage: 5,263 miles","$14,995 ",NYC
2011 BMW X5 xDrive35d,SUV,Blue,"Used 2011 BMW X5 xDrive35d with AWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats",6 Cyl,"Mileage: 93,452 miles","$17,500 ",NYC
2013 Acura TL Technology,Sedan,White,"Used 2013 Acura TL Technology with FWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera",6 Cyl,"Mileage: 36,371 miles","$17,627 ",NYC
2015 Subaru Forester 2.5i,SUV,White,"Used 2015 Subaru Forester 2.5i with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats",4 Cyl,"Mileage: 35,308 miles","$19,933 ",NYC
2009 Honda Accord LXP,Sedan,Gray,"Used 2009 Honda Accord LXP with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, AM/FM",4 Cyl,"Mileage: 83,525 miles","$7,980 ",NYC
2015 Mini Cooper Countryman,SUV,Red,"Used 2015 Mini Cooper Countryman with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM, 4-Wheel Disc Brakes",4 Cyl,"Mileage: 36,441 miles","$15,899 ",NYC
