price,mileage,color,model,engine,specs,bodytype,city
"$7,999 ","Mileage: 130,475 miles",Black,2012 Nissan Altima SR,6 Cyl,"Used 2012 Nissan Altima SR with FWD, Leather Seats, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, Power Steering, Power Windows, AM/FM",Sedan,Seattle
"$13,988 ","Mileage: 59,276 miles",White,2012 Mini Cooper Countryman S,4 Cyl,"Used 2012 Mini Cooper Countryman S with AWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Power Steering, Power Windows",SUV,Seattle
"$16,950 ","Mileage: 7,342 miles",Red,2016 Jeep Cherokee Sport,4 Cyl,"Used 2016 Jeep Cherokee Sport with FWD, Keyless Entry, Cruise Control, Split/Folding Seats, Cloth Seats, Power Steering, Power Windows, AM/FM, 4-Wheel Disc Brakes, Trip Computer, Intermittent Wipers",SUV,Seattle
"$10,888 ","Mileage: 107,320 miles",Black,2009 BMW 3 Series 328i xDrive,6 Cyl,"Used 2009 BMW 3 Series 328i xDrive with AWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3",Sedan,Seattle
"$15,400 ","Mileage: 7,379 miles",Silver,2016 Toyota Corolla LE,4 Cyl,"Used 2016 Toyota Corolla LE with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Power Steering, AM/FM, Aux Audio Adapter",Sedan,Seattle
"$13,481 ","Mileage: 25,432 miles",Black,2015 Ford Fusion SE,4 Cyl,"Used 2015 Ford Fusion SE with FWD, Leather Seats, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning",Sedan,Seattle
"$12,299 ","Mileage: 19,211 miles",White,2015 Ford Focus SE,4 Cyl,"Used 2015 Ford Focus SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering",Sedan,Seattle
"$35,996 ","Mileage: 43,236 miles",Black,2014 BMW 7 Series 750i xDrive,8 Cyl,"Used 2014 BMW 7 Series 750i xDrive with AWD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, Satellite Radio",Sedan,Seattle
"$38,996 ","Mileage: 35,632 miles",Black,2014 BMW 7 Series 750Li xDrive,8 Cyl,"Used 2014 BMW 7 Series 750Li xDrive with AWD, Fog Lights, Alloy Wheels, Navigation System, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, Satellite Radio, Power Steering, AM/FM",Sedan,Seattle
"$38,499 ","Mileage: 13,784 miles",Gray,2015 Lexus RX 350,6 Cyl,"Used 2015 Lexus RX 350 with AWD, Fog Lights, Power Sun/Moonroof, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",SUV,Seattle
"$18,955 ","Mileage: 11,784 miles",White,2015 Volkswagen Beetle R-Line,4 Cyl,"Used 2015 Volkswagen Beetle R-Line with FWD, Fog Lights, Alloy Wheels, Cruise Control, Split/Folding Seats, Air Conditioning, Power Windows, AM/FM, Trip Computer, Intermittent Wipers, Power Locks",Hatchback,Seattle
"$12,989 ","Mileage: 25,805 miles",Black,2015 Volkswagen Passat,4 Cyl,"Used 2015 Volkswagen Passat with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, 4-Wheel Disc Brakes",Sedan,Seattle
"$19,999 ","Mileage: 44,157 miles",Gray,2014 Ford Edge SEL,6 Cyl,"Used 2014 Ford Edge SEL with AWD, Leather Seats, Alloy Wheels, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, Power Steering, Power Windows, AM/FM",SUV,Seattle
"$56,988 ","Mileage: 11,910 miles",Black,2015 BMW 6 Series 650i,8 Cyl,"Used 2015 BMW 6 Series 650i with RWD, Leather Seats, Fog Lights, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Air Conditioning, MP3, Satellite Radio",Sedan,Seattle
"$26,999 ","Mileage: 22,855 miles",Yellow,2015 Ford Mustang GT,8 Cyl,"Used 2015 Ford Mustang GT with RWD, Leather Seats, Alloy Wheels, Cruise Control, CD (Single Disc), Air Conditioning, Power Steering, Power Windows, AM/FM, Power Seat (Driver), Power Locks",Coupe,Seattle
"$32,999 ","Mileage: 53,769 miles",White,2014 BMW 5 Series 550i xDrive,8 Cyl,"Used 2014 BMW 5 Series 550i xDrive with AWD, Leather Seats, Alloy Wheels, Navigation System, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, Power Steering, Power Windows",Hatchback,Seattle
"$27,950 ","Mileage: 25,832 miles",Blue,2015 Lexus IS 250,6 Cyl,"Used 2015 Lexus IS 250 with AWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3",Sedan,Seattle
"$16,450 ","Mileage: 19,985 miles",Blue,2013 Toyota Prius Plug-in Base,4 Cyl,"Used 2013 Toyota Prius Plug-in Base with FWD, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",Hatchback,Seattle
"$18,741 ","Mileage: 31,321 miles",Black,2013 BMW 1 Series 128i,6 Cyl,"Used 2013 BMW 1 Series 128i with RWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering",Coupe,Seattle
"$25,999 ","Mileage: 72,314 miles",Black,2013 Mercedes-Benz M-Class ML 350,6 Cyl,"Used 2013 Mercedes-Benz M-Class ML 350 with AWD, Leather Seats, Alloy Wheels, Navigation System, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, Power Steering, Power Windows, AM/FM",SUV,Seattle
"$23,974 ","Mileage: 24,983 miles",Black,2014 Ford Edge SEL,6 Cyl,"Used 2014 Ford Edge SEL with AWD, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Towing Package, Rear-View Camera, Split/Folding Seats, Air Conditioning",SUV,Seattle
"$25,989 ","Mileage: 62,919 miles",Black,2013 Ford F-150 XLT,8 Cyl,"Used 2013 Ford F-150 XLT with 4WD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering",Pickup,Seattle
"$12,999 ","Mileage: 39,227 miles",Silver,2013 Toyota Prius c Two,4 Cyl,"Used 2013 Toyota Prius c Two with FWD, Keyless Entry, CD (Single Disc), Air Conditioning, MP3, Power Steering, AM/FM, Intermittent Wipers, Power Locks, Rear Window Defroster, Front Airbags (Driver)",Hatchback,Seattle
"$41,996 ","Mileage: 13,958 miles",White,2015 Mercedes-Benz M-Class ML 350,6 Cyl,"Used 2015 Mercedes-Benz M-Class ML 350 with AWD, Fog Lights, Trailer Hitch, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning",SUV,Seattle
"$29,353 ","Mileage: 30,211 miles",Black,2014 BMW X3 xDrive28i,4 Cyl,"Used 2014 BMW X3 xDrive28i with AWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Power Steering",SUV,Seattle
"$11,980 ","Mileage: 10,999 miles",Black,2016 Ford Fiesta SE,4 Cyl,"Used 2016 Ford Fiesta SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering",Hatchback,Seattle
"$16,991 ","Mileage: 34,581 miles",Gray,2014 Ford Escape SE,4 Cyl,"Used 2014 Ford Escape SE with 4WD, Fog Lights, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Power Steering, Power Windows",SUV,Seattle
"$16,988 ","Mileage: 14,011 miles",Unspecified,2015 Ford C-Max SEL,4 Cyl,"Used 2015 Ford C-Max SEL with FWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3",Minivan,Seattle
"$40,995 ","Mileage: 2,991 miles",Blue,2016 BMW 2 Series M235i,6 Cyl,"Used 2016 BMW 2 Series M235i with RWD, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio",Coupe,Seattle
"$23,999 ","Mileage: 27,865 miles",Red,2014 Ram 1500 ST,8 Cyl,"Used 2014 Ram 1500 ST with RWD, Alloy Wheels, Quad Cab, CD (Single Disc), Towing Package, Split/Folding Seats, Cloth Seats, Power Steering, Power Windows, AM/FM, Power Locks",Pickup,Seattle
"$19,999 ","Mileage: 21,223 miles",Red,2014 Scion FR-S Monogram,4 Cyl,"Used 2014 Scion FR-S Monogram with RWD, Alloy Wheels, Navigation System, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, Cloth Seats, Power Steering, Power Windows, AM/FM",Coupe,Seattle
"$34,244 ","Mileage: 12,945 miles",Gray,2015 Ford F-150 XLT,8 Cyl,"Used 2015 Ford F-150 XLT with 4WD, Fog Lights, Trailer Hitch, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Towing Package, Rear-View Camera, Split/Folding Seats, Air Conditioning",Pickup,Seattle
"$16,914 ","Mileage: 51,543 miles",Black,2014 Ford Fusion Titanium,4 Cyl,"Used 2014 Ford Fusion Titanium with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3",Sedan,Seattle
"$30,995 ","Mileage: 28,974 miles",Silver,2014 BMW 3 Series 328i xDrive,4 Cyl,"Used 2014 BMW 3 Series 328i xDrive with AWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3",Wagon,Seattle
"$45,996 ","Mileage: 19,445 miles",Black,2014 BMW 6 Series 640i,6 Cyl,"Used 2014 BMW 6 Series 640i with RWD, Fog Lights, Navigation System, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, Power Steering, AM/FM, Aux Audio Adapter, Intermittent Wipers",Sedan,Seattle
"$7,944 ","Mileage: 96,450 miles",Red,2013 Ford Focus SE,4 Cyl,"Used 2013 Ford Focus SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows",Sedan,Seattle
"$15,884 ","Mileage: 8,519 miles",White,2016 Scion iM,4 Cyl,"Used 2016 Scion iM with FWD, Alloy Wheels, Keyless Entry, Cruise Control, Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM",Hatchback,Seattle
"$21,367 ","Mileage: 5,867 miles",Blue,2016 Ford Mustang,4 Cyl,"Used 2016 Ford Mustang with RWD, Fog Lights, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering",Coupe,Seattle
"$22,488 ","Mileage: 47,476 miles",Silver,2014 Lincoln MKX,6 Cyl,"Used 2014 Lincoln MKX with AWD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Towing Package, Rear-View Camera",SUV,Seattle
"$19,788 ","Mileage: 20,969 miles",Black,2015 Toyota RAV4 LE,4 Cyl,"Used 2015 Toyota RAV4 LE with AWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM",SUV,Seattle
"$26,495 ","Mileage: 40,230 miles",Gray,2014 Chevrolet Silverado 1500 LT,6 Cyl,"Used 2014 Chevrolet Silverado 1500 LT with 4WD, Double Cab, Remote Start, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3",Pickup,Seattle
"$18,741 ","Mileage: 31,321 miles",Black,2013 BMW 1 Series 128i,6 Cyl,"Used 2013 BMW 1 Series 128i with RWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering",Coupe,Seattle
"$12,995 ","Mileage: 9,461 miles",Red,2016 Hyundai Elantra SE,4 Cyl,"Used 2016 Hyundai Elantra SE with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering, Power Windows",Sedan,Seattle
"$16,788 ","Mileage: 7,016 miles",Red,2016 Hyundai Sonata Sport,4 Cyl,"Used 2016 Hyundai Sonata Sport with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering",Sedan,Seattle
"$25,999 ","Mileage: 72,314 miles",Black,2013 Mercedes-Benz M-Class ML 350,6 Cyl,"Used 2013 Mercedes-Benz M-Class ML 350 with AWD, Leather Seats, Alloy Wheels, Navigation System, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, Power Steering, Power Windows, AM/FM",SUV,Seattle
"$34,996 ","Mileage: 18,321 miles",Gray,2016 Audi A5 Premium Plus,4 Cyl,"Used 2016 Audi A5 Premium Plus with AWD, Remote Start, Fog Lights, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, Power Steering",Coupe,Seattle
"$18,999 ","Mileage: 40,639 miles",Red,2014 Jeep Cherokee Latitude,6 Cyl,"Used 2014 Jeep Cherokee Latitude with 4WD, Alloy Wheels, Navigation System, Cruise Control, CD (Single Disc), Towing Package, Air Conditioning, Cloth Seats, Power Steering, Power Windows, AM/FM",SUV,Seattle
"$17,567 ","Mileage: 9,798 miles",Black,2017 Toyota Corolla SE,4 Cyl,"Used 2017 Toyota Corolla SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows",Sedan,Seattle
"$36,288 ","Mileage: 18,375 miles",White,2015 Lexus RX 350,6 Cyl,"Used 2015 Lexus RX 350 with AWD, Fog Lights, Power Sun/Moonroof, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3",SUV,Seattle
"$29,353 ","Mileage: 30,211 miles",Black,2014 BMW X3 xDrive28i,4 Cyl,"Used 2014 BMW X3 xDrive28i with AWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Power Steering",SUV,Seattle
