price,model,specs,color,bodytype,mileage,engine,city
"$11,750 ",2016 Hyundai Elantra SE,"Used 2016 Hyundai Elantra SE with FWD, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Power Steering, AM/FM, Aux Audio Adapter, Trip Computer",Black,Sedan,"Mileage: 24,555 miles",4 Cyl,SanDiego
"$13,990 ",2012 Jeep Liberty Sport,"Used 2012 Jeep Liberty Sport with 4WD, Keyless Entry, CD (Single Disc), Air Conditioning, Satellite Radio, AM/FM, Front Airbags (Driver)",Black,SUV,"Mileage: 62,920 miles",6 Cyl,SanDiego
"$13,895 ",2015 Toyota Corolla L,"Used 2015 Toyota Corolla L with FWD, CD (Single Disc), Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM, Aux Audio Adapter, Trip Computer, Intermittent Wipers",White,Sedan,"Mileage: 23,241 miles",4 Cyl,SanDiego
"$29,999 ",2016 Toyota Tacoma,"Used 2016 Toyota Tacoma with RWD, Double Cab, Fog Lights, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",Unspecified,Pickup,"Mileage: 10,801 miles",6 Cyl,SanDiego
"$26,977 ",2014 Jeep Grand Cherokee Limited Edition,"Used 2014 Jeep Grand Cherokee Limited Edition with RWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3",White,SUV,"Mileage: 24,266 miles",6 Cyl,SanDiego
"$13,998 ",2017 Kia Forte5 LX,"Used 2017 Kia Forte5 LX with FWD, Keyless Entry, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering, Power Windows, AM/FM",Silver,Hatchback,"Mileage: 4,293 miles",4 Cyl,SanDiego
"$18,995 ",2014 Kia Cadenza Premium,"Used 2014 Kia Cadenza Premium with FWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3, Satellite Radio",White,Sedan,"Mileage: 34,650 miles",6 Cyl,SanDiego
"$14,999 ",2014 Chrysler 300 Base,"Used 2014 Chrysler 300 Base with RWD, Leather Seats, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, Split/Folding Seats, DVD, Air Conditioning, MP3, Satellite Radio",Black,Sedan,"Mileage: 66,097 miles",6 Cyl,SanDiego
"$24,997 ",2012 Ford F-150 King Ranch,"Used 2012 Ford F-150 King Ranch with 4WD, Remote Start, Leather Seats, Cruise Control, Heated Seats, Rear-View Camera, Air Conditioning, Satellite Radio, Power Windows, Aux Audio Adapter, Power Locks",Blue,Pickup,"Mileage: 92,486 miles",8 Cyl,SanDiego
"$16,905 ",2016 Jeep Renegade Sport,"Used 2016 Jeep Renegade Sport with FWD, Keyless Entry, Split/Folding Seats, Cloth Seats, Power Steering, Power Windows, AM/FM, 4-Wheel Disc Brakes, Trip Computer, Intermittent Wipers, Rear Window Defroster",White,SUV,"Mileage: 1,646 miles",4 Cyl,SanDiego
