bodytype,specs,price,color,mileage,engine,model,city
SUV,"Used 2015 BMW X1 sDrive28i with RWD, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering","$20,882 ",White,"Mileage: 28,699 miles",4 Cyl,2015 BMW X1 sDrive28i,SanFrancisco 
Sedan,"Used 2008 Mazda Mazda3 s Grand Touring with FWD, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, Power Steering, Power Windows","$5,892 ",Silver,"Mileage: 103,938 miles",4 Cyl,2008 Mazda Mazda3 s Grand Touring,SanFrancisco 
Sedan,"Used 2014 Honda Civic LX with FWD, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows","$13,981 ",Black,"Mileage: 15,544 miles",4 Cyl,2014 Honda Civic LX,SanFrancisco 
Sedan,"Used 2016 Toyota Corolla LE with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM","$13,900 ",Silver,"Mileage: 12,852 miles",4 Cyl,2016 Toyota Corolla LE,SanFrancisco 
Sedan,"Used 2015 Nissan Versa SV with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM","$8,884 ",Unspecified,"Mileage: 25,997 miles",4 Cyl,2015 Nissan Versa SV,SanFrancisco 
Convertible,"Used 2015 BMW Z4 sDrive35i with RWD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Heated Seats, CD (Single Disc), Air Conditioning, MP3, Satellite Radio","$37,983 ",Black,"Mileage: 30,784 miles",6 Cyl,2015 BMW Z4 sDrive35i,SanFrancisco 
Hatchback,"Used 2015 Ford Fiesta SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows","$9,388 ",Silver,"Mileage: 20,689 miles",4 Cyl,2015 Ford Fiesta SE,SanFrancisco 
Sedan,"Used 2015 Ford Focus SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering","$11,293 ",Silver,"Mileage: 19,448 miles",4 Cyl,2015 Ford Focus SE,SanFrancisco 
Hatchback,"Used 2016 Ford Focus ST with FWD, Alloy Wheels, Keyless Entry, CD (Single Disc), Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM, 4-Wheel Disc Brakes","$19,998 ",Red,"Mileage: 11,850 miles",4 Cyl,2016 Ford Focus ST,SanFrancisco 
Sedan,,"$14,988 ",Silver,"Mileage: 26,334 miles",4 Cyl,2016 Ford Fusion SE,SanFrancisco 
